Film,Genre,Rating
Zack and Miri Make a Porno,Romance,70
Youth in Revolt,Comedy,52
You Will Meet a Tall Dark Stranger,Comedy,35
When in Rome,Comedy,44
What Happens in Vegas,Comedy,72
Water For Elephants,Drama,72
WALL-E,Animation,89
Waitress,Romance,67
Waiting For Forever,Romance,53
Valentine's Day,Comedy,54
Tyler Perry's Why Did I get Married,Romance,47
Twilight: Breaking Dawn,Romance,68
Twilight,Romance,82
The Ugly Truth,Comedy,68
The Twilight Saga: New Moon,Drama,78
The Time Traveler's Wife,Drama,65
The Proposal,Comedy,74
The Invention of Lying,Comedy,47
The Heartbreak Kid,Comedy,41
The Duchess,Drama,68
The Curious Case of Benjamin Button,Fantasy,81
The Back-up Plan,Comedy,47
Tangled,Animation,88
Something Borrowed,Romance,48
She's Out of My League,Comedy,60
Sex and the City Two,Comedy,49
Sex and the City 2,Comedy,49
Sex and the City,Comedy,81
Remember Me,Drama,70
Rachel Getting Married,Drama,61
Penelope,Comedy,74
P.S. I Love You,Romance,82
Over Her Dead Body,Comedy,47
Our Family Wedding,Comedy,49
One Day,Romance,54
Not Easily Broken,Drama,66
No Reservations,Comedy,64
Nick and Norah's Infinite Playlist,Comedy,67
New Year's Eve,Romance,48
My Week with Marilyn,Drama,84
Music and Lyrics,Romance,70
Monte Carlo,Romance,50
Miss Pettigrew Lives for a Day,Comedy,70
Midnight in Paris,Romence,84
Marley and Me,Comedy,77
Mamma Mia!,Comedy,76
Mamma Mia!,Comedy,76
Made of Honor,Comdy,61
Love Happens,Drama,40
Love & Other Drugs,Comedy,55
Life as We Know It,Comedy,62
License to Wed,Comedy,55
Letters to Juliet,Comedy,62
Leap Year,Comedy,49
Knocked Up,Comedy,83
Killers,Action,45
Just Wright,Comedy,58
Jane Eyre,Romance,77
It's Complicated,Comedy,63
I Love You Phillip Morris,Comedy,57
High School Musical 3: Senior Year,Comedy,76
He's Just Not That Into You,Comedy,60
Good Luck Chuck,Comedy,61
Going the Distance,Comedy,56
Gnomeo and Juliet,Animation,52
Gnomeo and Juliet,Animation,52
Ghosts of Girlfriends Past,Comedy,47
Four Christmases,Comedy,52
Fireproof,Drama,51
Enchanted,Comedy,80
Dear John,Drama,66
Beginners,Comedy,80
Across the Universe,romance,84
A Serious Man,Drama,64
A Dangerous Method,Drama,89
27 Dresses,Comedy,71
(500) Days of Summer,comedy,81
